Region	Inhabitants	Employee	Employee Primary Sector	Employee Construction	Employee Secondary Sector Rest	Employee Retail	Employee Traffic/Parcels	Employee Tertiary Sector Rest
Bochum	365742	197681	96	8976	20088	26852	10298	131372
Borken	379070	217926	4755	19160	54092	29090	11156	99673
Bottrop	118113	46547	495	3694	5739	5978	2293	28348
Coesfeld	224692	104752	3372	6964	19316	13953	5351	55796
Dortmund	593317	339273	321	15773	31237	50998	19558	221386
Duisburg	502211	232972	167	11699	38729	32243	12366	137768
Duesseldorf	629047	565257	810	14207	41421	87266	33467	388086
Ennepe-Ruhr-Kreis	325193	148546	574	6879	36622	18118	6948	79405
Essen	594580	334614	340	16776	27001	46809	17952	235737
Gelsenkirchen	263000	116650	95	7002	13380	14366	5509	76298
Hagen	189783	95800	105	4179	17703	12423	4765	56625
Hamm	180849	84671	294	5357	11642	12008	4636	50654
Herne	157368	66227	38	5273	7633	8739	3352	41192
Hochsauerlandkreis	261647	151411	2343	9025	40493	18258	7002	74290
Kleve	319290	153047	8030	10586	20848	21777	8352	83455
Krefeld	228426	124933	498	4850	23483	18303	7019	70780
Maerkischer-Kreis	410346	213478	1197	9126	79680	21629	8295	93551
Mettmann	319290	258658	903	14195	50877	45038	17273	130372
Muelheim-an-der-Ruhr	172404	79905	213	4781	12111	9907	3799	49094
Oberbergischer-Kreis	275404	144769	1140	7321	42579	15080	5783	72686
Oberhausen	210824	94428	48	7658	9884	13553	5198	58087
Recklinghausen	619732	252259	1740	16073	36307	33896	13000	151243
Rhein-Kreis-Neuss	457264	215138	2438	114810	34326	34101	13078	119715
Soest	306068	156203	2858	8699	38542	19389	7436	79279
Unna	398866	183348	1077	9322	33317	28607	10971	100055
Viersen	300882	136110	3145	9287	22142	21817	8369	71352
Warendorf	282263	141714	3993	7760	38194	17019	6527	68222
Wesel	465838	204702	2511	13402	29961	29648	11370	117810
Wuppertal	358876	175442	159	7336	30181	21992	8434	107339
