dist_group,mode,trips,raw_trips_in_survey,source,share,scaled_trips
0 - 1000,bike,423.1216294900378,148,srv,0.01677436373754381,297392.6264784752
0 - 1000,car,705.4382741103,283,srv,0.027966611441190614,495819.94049548847
0 - 1000,pt,53.379253873109626,13,srv,0.002116183522892481,37517.80907045111
0 - 1000,ride,246.21505086060702,60,srv,0.009761025040888185,173053.17325001291
0 - 1000,walk,3594.147472095588,976,srv,0.14248748544471296,2526160.0499263657
1000 - 2000,bike,672.2042230958212,216,srv,0.02664907052308428,472461.26291706384
1000 - 2000,car,1166.5582941326259,516,srv,0.04624739503488326,819919.8784767382
1000 - 2000,pt,456.2339304456801,69,srv,0.018087077958951963,320665.73157076887
1000 - 2000,ride,518.976094836707,157,srv,0.020574447579938534,364764.2974646476
1000 - 2000,walk,1214.2943274130557,332,srv,0.0481398569886683,853471.3287584006
2000 - 5000,bike,1057.2947270194363,278,srv,0.041915716646739494,743123.5699510744
2000 - 5000,car,2889.682432963423,1158,srv,0.11455945722968597,2031024.1512906072
2000 - 5000,pt,966.759559615439,207,srv,0.03832651268450189,679490.5875025202
2000 - 5000,ride,897.9174229595062,270,srv,0.035597313890934894,631104.633191527
2000 - 5000,walk,668.4713385378119,226,srv,0.026501082902026532,469837.590985224
5000 - 10000,bike,198.34574624139395,73,srv,0.007863279637246815,139408.05270733652
5000 - 10000,car,2515.645573632415,998,srv,0.09973102518467619,1768130.9398746039
5000 - 10000,pt,610.7705956942975,174,srv,0.024213576944105804,429282.4071609571
5000 - 10000,ride,645.1859712772746,205,srv,0.025577950655959816,453471.38314925676
5000 - 10000,walk,133.74877880116648,59,srv,0.005302377634929861,94005.83152392122
10000 - 20000,bike,69.30542766705287,30,srv,0.0027475656445980602,48711.58013822149
10000 - 20000,car,2019.1242104347577,679,srv,0.08004677987730009,1419149.0348795983
10000 - 20000,pt,370.30861806592895,92,srv,0.014680628504082019,260272.80304003943
10000 - 20000,ride,407.2744277684782,120,srv,0.016146112408912713,286254.3612283888
10000 - 20000,walk,45.98246747353429,14,srv,0.0018229430527587859,32318.949968114044
20000+,bike,56.41286223227586,29,srv,0.0022364488237121027,39649.99209954097
20000+,car,1886.796945183899,680,srv,0.0748007571618279,1326142.3194935361
20000+,pt,484.12219382739914,113,srv,0.019192688831497523,340267.1022334053
20000+,ride,231.91856926051148,100,srv,0.00919425093667579,163004.83746160645
20000+,walk,18.666339074895536,3,srv,7.400140750734109e-4,13119.706527202425
