dist_group,mode,trips,raw_trips_in_survey,source,share,scaled_trips
0 - 1000,bike,423.1216294900378,148,srv,0.01677436373754381,297392.6264784752
0 - 1000,car,705.4382741103,283,srv,0.027966611441190614,495819.94049548847
0 - 1000,pt,49.98300186924086,9,srv,0.0019815414661252125,35130.74059363835
0 - 1000,pt_w_unknown,3.396252003868764,4,srv,1.3464205676726822e-4,2387.068476812757
0 - 1000,ride,246.21505086060702,60,srv,0.009761025040888185,173053.17325001291
0 - 1000,walk,3594.147472095588,976,srv,0.14248748544471296,2526160.0499263657
1000 - 2000,bike,672.2042230958212,216,srv,0.02664907052308428,472461.26291706384
1000 - 2000,car,1166.5582941326259,516,srv,0.04624739503488326,819919.8784767382
1000 - 2000,pt,439.6106587940676,63,srv,0.017428059875834297,308982.0026555242
1000 - 2000,pt_w_ride_used,3.14358654743013,1,srv,1.2462530986798458e-4,2209.4816117753194
1000 - 2000,pt_w_unknown,13.479685104182334,5,srv,5.343927732496818e-4,9474.247303469387
1000 - 2000,ride,518.976094836707,157,srv,0.020574447579938534,364764.2974646476
1000 - 2000,walk,1214.2943274130557,332,srv,0.0481398569886683,853471.3287584006
2000 - 5000,bike,1057.2947270194363,278,srv,0.041915716646739494,743123.5699510744
2000 - 5000,car,2889.682432963423,1158,srv,0.11455945722968597,2031024.1512906072
2000 - 5000,pt,931.9206231509976,199,srv,0.03694534719507026,655003.9101578422
2000 - 5000,pt_w_bike_used,1.57965309762528,1,srv,6.26242522053062e-5,1110.2651126434603
2000 - 5000,pt_w_ride_used,5.5664727481483345,3,srv,2.2067895400455702e-4,3912.4162780046804
2000 - 5000,pt_w_unknown,27.692810618667842,4,srv,0.0010978622832217733,19463.99595402991
2000 - 5000,ride,897.9174229595062,270,srv,0.035597313890934894,631104.633191527
2000 - 5000,walk,668.4713385378119,226,srv,0.026501082902026532,469837.590985224
5000 - 10000,bike,198.34574624139395,73,srv,0.007863279637246815,139408.05270733652
5000 - 10000,car,2515.645573632415,998,srv,0.09973102518467619,1768130.9398746039
5000 - 10000,pt,588.7653174458728,166,srv,0.023341192939700686,413815.9146950058
5000 - 10000,pt_w_bike_used,9.1055838255021,2,srv,3.6098455972519383e-4,6399.893791177009
5000 - 10000,pt_w_car_used,1.17605391196819,2,srv,4.662384222260665e-5,826.5939091368059
5000 - 10000,pt_w_ride_used,5.8087959046994495,2,srv,2.3028568759299884e-4,4082.7340187218037
5000 - 10000,pt_w_unknown,5.91484460625506,2,srv,2.344899148643204e-4,4157.270746915694
5000 - 10000,ride,645.1859712772746,205,srv,0.025577950655959816,453471.38314925676
5000 - 10000,walk,133.74877880116648,59,srv,0.005302377634929861,94005.83152392122
10000 - 20000,bike,69.30542766705287,30,srv,0.0027475656445980602,48711.58013822149
10000 - 20000,car,2019.1242104347577,679,srv,0.08004677987730009,1419149.0348795983
10000 - 20000,pt,312.9477442962614,71,srv,0.012406596420032312,219956.49747083115
10000 - 20000,pt_w_bike_used,0.878679810665508,2,srv,3.483465208503691e-5,617.5834051366483
10000 - 20000,pt_w_car_used,25.66144329458532,9,srv,0.0010173301335895514,18036.241800739394
10000 - 20000,pt_w_ride_used,10.9776769524469,4,srv,4.3520239420407914e-4,7715.70147679551
10000 - 20000,pt_w_unknown,19.843073711969822,6,srv,7.866649041710414e-4,13946.778886536767
10000 - 20000,ride,407.2744277684782,120,srv,0.016146112408912713,286254.3612283888
10000 - 20000,walk,45.98246747353429,14,srv,0.0018229430527587859,32318.949968114044
20000+,bike,56.41286223227586,29,srv,0.0022364488237121027,39649.99209954097
20000+,car,1886.796945183899,680,srv,0.0748007571618279,1326142.3194935361
20000+,pt,382.77376495089504,69,srv,0.015174800612802486,269033.97834565525
20000+,pt_w_bike_used,1.86789165226075,6,srv,7.405126992705826e-5,1312.8546633566084
20000+,pt_w_car_used,16.701878607856592,8,srv,6.621344014158574e-4,11738.978109678692
20000+,pt_w_ride_used,24.035534330958413,11,srv,9.528720996363313e-4,16893.465578945496
20000+,pt_w_unknown,58.74312428542833,19,srv,0.0023288304477157872,41287.825535769145
20000+,ride,231.91856926051148,100,srv,0.00919425093667579,163004.83746160645
20000+,walk,18.666339074895536,3,srv,7.400140750734109e-4,13119.706527202425
