linkID_hin,linkID_rueck,SollWertDTV_Pkw,SollWertDTV_Lkw
305967680001f,305967680001r,"10738","214"
6257269950000f-3083812000002f,3083812000002r,"10789","448"
2317999190001r,2317999190001f,"10076","293"
1609516560014r-6035452930004f,6035452930004r-1609516560014f,"3248","117"
246592620000r-246592610001r-7871067450004r,7871067450004f-246592610001f-246592620000f,"7472","1987"
1090780780005r,1090780780005f,"3710","282"
586513510007f-530245850002f-6223575180000f,591678590002f-530245890002f-530245870008f,"9762","626"
3274074240004f-361252200001f,361252190002f,"48554","3938"
1453018090007f,1453018090007r,"8205","136"
2998859930011f,3308369320002f,"104189","11131"
1989850510008f,7406456590005f,"13901","325"
253574400002f,2454510480004f,"39898","765"
1192625440004f,6244224230002f,"22296","1143"
2924622580004f-257833810001f-257833800000f,257833780005f,"70392","13687"
2684212130004f,1474762270006f-8461080980000f,"22296","1143"
6394642920000f,6394642810005f,"11615","518"
2684014600012f,2924651120016f,"62840","12361"
6394488430003f,6394488440004f,"19290","1218"
398834020003f,1470146770013f,"29948","1546"
1062420790001f-1062420840005f-1062420970003f,1062420970003r-1062420840005r-1062420790001r,"18276","1208"
2819840160001r,2819840160001f,"18334","835"
824452130013f,824452130013r,"6162","170"
7916637730000f,6243887930002f,"19106","564"
6379150670002f-6379150660000f-1474803800005f,1474803770007f-6379150650004f,"7233","149"
6246808080002f,8786174740000r-1470217720003r-6246808080002r,"6074","330"
3302705750013r,3302705750013f,"6512","307"
584798670026f,3155069660028f,"64978","10130"
605815060006f-6214442970000f,605815100004f,"14696","1102"
106216900028f-587331370020f,315447630025f,"17279","964"
1809555450021f,44124240019f,"19666","889"
2205205520005f-292261050009f-856927190008f,256893350014f-292261060010f,"35152","1102"
2967637410004f-42901210000f-42504840000f,2967637440002f-42901230000f-42901220002f,"81842","4660"
2867608640002r,2867608640002f,"15837","466"
2967699440008f,338599670006f-252515190000f-115450740002f,"55513","7679"
332425690004r,332425690004f,"4945","81"
294310690004f,294310690004r,"7025","87"
2512318400009f,256216150002f-193462320008f,"62398","5947"
317137540005r,317137540005f,"4854","116"
376318070022r,376318070022f,"8681","152"
301096240007f-3434287390007f-3148643580002f,247583100000f-5735709380005f,"20960","916"
1447749470003r,1447749470003f,"4539","152"
2567446170009r,2567446170009f,"11620","491"
427727880005f,427727880005r,"3190","105"
