dist_group,share,share_commercialPersonTraffic,share_smallScaleGoodsTraffic,share_longDistanceFreight
0 - 10,0.22,0.153,0.102,0.04
10 - 20,0.16,0.137,0.111,0.05
20 - 30,0.12,0.113,0.101,0.06
30 - 40,0.09,0.088,0.088,0.07
40 - 50,0.07,0.072,0.075,0.08
50 - 60,0.06,0.057,0.059,0.09
60 - 75,0.05,0.067,0.068,0.10
75 - 90,0.04,0.052,0.052,0.10
90 - 105,0.03,0.037,0.039,0.10
105 - 120,0.03,0.031,0.037,0.11
120 - 150,0.03,0.047,0.05,0.12
150 - 180,0.02,0.031,0.036,0.12
180 - 240,0.02,0.04,0.053,0.13
240 - 300,0.015,0.025,0.037,0.12
300 - 420,0.015,0.022,0.036,0.13
420 - 540,0.01,0.015,0.023,0.12
540 - 660,0.01,0.006,0.015,0.12
660 - 780,0.008,0.004,0.01,0.11
780 - 900,0.006,0.002,0.003,0.09
900 +,0.006,0.002,0.005,0.12
