purpose,h,arrival,departure
edu,5.0,0.0,0.00032450726497964497
edu,6.0,0.0009307083691596388,0.0032743919095795477
edu,7.0,0.0100165904924554,0.010939102895514684
edu,8.0,0.005245649305283973,0.0023157091294549463
edu,9.0,0.0013466998329081884,0.0013229026722801202
edu,10.0,0.0012973145178004338,0.0009858078057855572
edu,11.0,0.000694332722107425,0.0006849560638613572
edu,12.0,0.0004524784015442123,0.00019798006944205115
edu,13.0,0.001010038783011564,0.0015288697363752294
edu,14.0,0.001079001183725967,0.0004985860607236638
edu,15.0,0.00011308070210174238,0.00011308070210174238
edu,16.0,0.0005094505542541792,0.0005094505542541792
edu,17.0,0.0001526543303734975,0.0001526543303734975
edu,18.0,0.00014281144498262682,0.00014281144498262682
edu,19.0,0.0003500444426401706,0.0003500444426401706
home,0.0,4.2946340212162084e-05,0.00010453050985079998
home,1.0,6.158416963863789e-05,9.582667733361977e-05
home,2.0,9.582667733361977e-05,0.0
home,4.0,3.509796196036578e-05,0.00010064794005737184
home,5.0,8.460930867218065e-05,5.5226710029695476e-05
home,6.0,0.0008734457813167936,0.0010225406534031894
home,7.0,0.002333351845998375,0.002554876931912045
home,8.0,0.006286267878755268,0.008070884535719218
home,9.0,0.009830855373718316,0.011518938636823614
home,10.0,0.015878244971198142,0.015976921878270642
home,11.0,0.018838733503744157,0.0223469734856639
home,12.0,0.02482264900539418,0.027181460771653936
home,13.0,0.036406961759907944,0.03579805503923901
home,14.0,0.03250621673032053,0.03161463185010076
home,15.0,0.03247914605445771,0.039664365840057454
home,16.0,0.04647524765689927,0.04636038447955967
home,17.0,0.03916974005856066,0.03901726496681766
home,18.0,0.042668232903040476,0.03589123097119793
home,19.0,0.025102067937722655,0.022434476744707152
home,20.0,0.016300098910914673,0.013941334524928396
home,21.0,0.013353348935767343,0.012884558994548686
home,22.0,0.00932807101221018,0.008953340292079875
home,23.0,0.007190527854755516,0.005093971288634943
home,24.0,0.0004810177790911679,0.0
home,25.0,3.815331099925033e-05,0.0
leisure,0.0,2.8847504659077883e-05,2.8847504659077883e-05
leisure,5.0,8.191648721718994e-05,8.191648721718994e-05
leisure,6.0,0.0005004157927158544,0.0014790377840671802
leisure,7.0,0.0010999195063987302,0.001519622794980267
leisure,8.0,0.004527364824042146,0.005962979600568229
leisure,9.0,0.006512599687081929,0.007484746503771499
leisure,10.0,0.007923463748053543,0.008121532097052683
leisure,11.0,0.005905494272775454,0.00623344004831802
leisure,12.0,0.0067682753403813835,0.007810725183393404
leisure,13.0,0.007084999701352321,0.006373242308630873
leisure,14.0,0.008208198448636676,0.009766703561246655
leisure,15.0,0.011981636586367741,0.013330314072158024
leisure,16.0,0.014192406086601586,0.014698912985243541
leisure,17.0,0.015589527780320531,0.013015552633504105
leisure,18.0,0.013742008611463102,0.015609051226852496
leisure,19.0,0.014266420840334464,0.011731486824235698
leisure,20.0,0.006642681028340775,0.0031823329433063596
leisure,21.0,0.0024470721014083676,0.0018903250485617252
leisure,22.0,0.0017655289223821244,0.0011652865768317976
leisure,23.0,0.0002119110843153084,0.00012829335199525093
leisure,24.0,7.307509686342143e-05,0.0
leisure,25.0,6.058608488234799e-05,0.0
other,4.0,0.0,0.0002584027728516862
other,5.0,0.0005714780317518369,0.0005786667232757666
other,6.0,0.0004174900095916798,0.0014563165360363855
other,7.0,0.019739254859512948,0.023279199241739264
other,8.0,0.012591843240509106,0.008875231011376107
other,9.0,0.003221160578359218,0.003834310837495215
other,10.0,0.0039393350747973475,0.0031735598563532915
other,11.0,0.0019112436242931384,0.00149889344955957
other,12.0,0.0013292994967543895,0.0013681361996436946
other,13.0,0.0030806357887011885,0.0037369246538852753
other,14.0,0.006120808492669261,0.005817213632567784
other,15.0,0.004506379713188845,0.005371986174809757
other,16.0,0.006508777199501249,0.005381342349765635
other,17.0,0.003866620165342367,0.005164625220520231
other,18.0,0.0034783779447545033,0.002026757391578595
other,19.0,0.0012306935953063046,0.0008897303561803854
other,20.0,0.00048263761247816737,0.00043803301788401545
other,21.0,0.0001532939980111084,0.0
other,22.0,0.0002729399156385835,0.0002729399156385835
other,23.0,0.00010913788214920576,0.00010913788214920576
personal_business,5.0,2.6727588168107673e-05,0.0002156615581870557
personal_business,6.0,0.0002689690432554806,0.00031754235872179725
personal_business,7.0,0.00219714419173526,0.003142983846972941
personal_business,8.0,0.006581096811712927,0.007356069865662543
personal_business,9.0,0.009158884272424754,0.009887174850772638
personal_business,10.0,0.00939848207624818,0.008799078254048942
personal_business,11.0,0.00991445076413466,0.011949608761058035
personal_business,12.0,0.008458072781574321,0.006623020737926471
personal_business,13.0,0.006222028033120766,0.005951681307842001
personal_business,14.0,0.009240231191945258,0.010227595436537455
personal_business,15.0,0.009312407662749572,0.008631029384452288
personal_business,16.0,0.0072887672102341225,0.007179993055517306
personal_business,17.0,0.006690922595604649,0.005506565214735535
personal_business,18.0,0.003781260967122511,0.0030601528779391567
personal_business,19.0,0.002191825024491276,0.0021651413995308452
personal_business,20.0,0.0006564159545216219,0.0004257873621751149
personal_business,21.0,0.00037572473444651995,0.0004893812867178858
personal_business,22.0,0.0003788899540076508,0.0003351663284143377
personal_business,23.0,0.00014990629736649834,2.8573267651784158e-05
shopping,4.0,3.755493127806522e-05,3.755493127806522e-05
shopping,6.0,0.00016505665530802728,0.0003792747831225363
shopping,7.0,0.001356639778194578,0.002380370843292757
shopping,8.0,0.00895377011579583,0.009511625918307249
shopping,9.0,0.010038197156128024,0.010700731282481871
shopping,10.0,0.014727215129570767,0.01571152248878991
shopping,11.0,0.01223103935877705,0.012056282186690422
shopping,12.0,0.011813027628700313,0.010718736416777298
shopping,13.0,0.010107961328327301,0.009896244778094008
